herramienta,tipo,hallazgo,severidad,iso27001,cobit2019
Trivy,Vulnerability,CVE-2026-58010 | libglib2.0-0t64 | wordpress:latest (debian 13.6) | glib: buffer over-read in glib/gvariant-serialiser.c via gvs_tuple_is_normal(),HIGH,A.8.8,DSS05.07
Trivy,Vulnerability,CVE-2026-58011 | libglib2.0-0t64 | wordpress:latest (debian 13.6) | glib: out-of-bounds read in glib/gdatetime.c:g_date_time_get_ymd via invalid GDateTime,HIGH,A.8.8,DSS05.07
Trivy,Vulnerability,CVE-2026-58012 | libglib2.0-0t64 | wordpress:latest (debian 13.6) | glib: buffer over-read in g_regex_replace() via glib/gregex.c:string_append() and g_utf8_next_char(),HIGH,A.8.8,DSS05.07
Trivy,Vulnerability,"CVE-2026-58013 | libglib2.0-0t64 | wordpress:latest (debian 13.6) | glib: buffer over-read in glib/giochannel.c via ""g_io_channel_read_line_backend""",HIGH,A.8.8,DSS05.07
Trivy,Vulnerability,"CVE-2026-58014 | libglib2.0-0t64 | wordpress:latest (debian 13.6) | glib: off-by-one error in glib/gkeyfile.c via ""g_key_file_get_locale_string_list""",HIGH,A.8.8,DSS05.07
Trivy,Vulnerability,CVE-2026-58015 | libglib2.0-0t64 | wordpress:latest (debian 13.6) | glib: path traversal in glib/gio/gdbusauthmechanismsha1.c via keyring_lookup_entry and mechanism_client_data_receive,HIGH,A.5.17,DSS05.04
Trivy,Vulnerability,CVE-2026-76642 | liblastlog2-2 | wordpress:latest (debian 13.6) | util-linux: util-linux: failed external mount helper still runs privileged X-mount post-hooks,HIGH,A.8.2,DSS05.04
Trivy,Vulnerability,CVE-2026-78408 | liblastlog2-2 | wordpress:latest (debian 13.6) | util-linux: util-linux: nsenter --join-cgroup leaks root cgroup migration authority,HIGH,A.8.2,DSS05.04
Trivy,Vulnerability,CVE-2026-78409 | liblastlog2-2 | wordpress:latest (debian 13.6) | util-linux: util-linux: X-mount.subdir detached-tree resolution can escape via intermediate symlinks,HIGH,A.8.8,DSS05.07
Trivy,Vulnerability,"CVE-2026-78410 | liblastlog2-2 | wordpress:latest (debian 13.6) | util-linux: util-linux: restricted bind mounts do not pin the source, allowing X-mount.owner/group/mode redirection",HIGH,A.8.8,DSS05.07
Trivy,Vulnerability,CVE-2026-56372 | libmagickcore-7.q16-10 | wordpress:latest (debian 13.6) | ImageMagick: ImageMagick: Information Disclosure and Denial of Service,CRITICAL,A.8.8,DSS05.07
Trivy,Vulnerability,CVE-2026-56374 | libmagickcore-7.q16-10 | wordpress:latest (debian 13.6) | ImageMagick: ImageMagick: Denial of Service and Information Disclosure via heap buffer overflow in FTXT encoder,HIGH,A.8.8,DSS05.07
Trivy,Vulnerability,CVE-2026-61857 | libmagickcore-7.q16-10 | wordpress:latest (debian 13.6) | ImageMagick: ImageMagick: Application crashes via malicious XMP profiles,HIGH,A.8.8,DSS05.07
Trivy,Vulnerability,CVE-2026-61861 | libmagickcore-7.q16-10 | wordpress:latest (debian 13.6) | ImageMagick: ImageMagick: Use-after-free vulnerability leading to denial of service or code execution,HIGH,A.8.8,DSS05.07
Trivy,Vulnerability,CVE-2026-61863 | libmagickcore-7.q16-10 | wordpress:latest (debian 13.6) | ImageMagick: ImageMagick: Memory leak in TIFF encoder,HIGH,A.8.8,DSS05.07
Trivy,Vulnerability,CVE-2026-61866 | libmagickcore-7.q16-10 | wordpress:latest (debian 13.6) | ImageMagick: ImageMagick: Memory leak in JNG encoder can lead to denial of service,HIGH,A.8.8,DSS05.07
Trivy,Vulnerability,CVE-2026-61870 | libmagickcore-7.q16-10 | wordpress:latest (debian 13.6) | ImageMagick: ImageMagick: Denial of Service via specially crafted VIFF images,HIGH,A.8.8,DSS05.07
Trivy,Vulnerability,CVE-2026-86420 | libmagickcore-7.q16-10 | wordpress:latest (debian 13.6) | ImageMagick: ImageMagick: Denial of Service due to memory budget exhaustion,HIGH,A.8.8,DSS05.07
Trivy,Vulnerability,CVE-2026-86421 | libmagickcore-7.q16-10 | wordpress:latest (debian 13.6) | ImageMagick: ImageMagick: Denial of Service via memory leak in MSL decoder,HIGH,A.8.8,DSS05.07
Trivy,Vulnerability,CVE-2026-56372 | libmagickwand-7.q16-10 | wordpress:latest (debian 13.6) | ImageMagick: ImageMagick: Information Disclosure and Denial of Service,CRITICAL,A.8.8,DSS05.07
Trivy,Vulnerability,CVE-2026-56374 | libmagickwand-7.q16-10 | wordpress:latest (debian 13.6) | ImageMagick: ImageMagick: Denial of Service and Information Disclosure via heap buffer overflow in FTXT encoder,HIGH,A.8.8,DSS05.07
Trivy,Vulnerability,CVE-2026-61857 | libmagickwand-7.q16-10 | wordpress:latest (debian 13.6) | ImageMagick: ImageMagick: Application crashes via malicious XMP profiles,HIGH,A.8.8,DSS05.07
